X,Y,medidor,circuito,anom_s_lec,anom_c_lec,comentario,lat y,lon x,icon_url
-100.20041,25.72427,j084dc,LAF04145,NA,NA,na,25.724270000000001,-100.200410000000005,./0.png
-100.2019,25.71983,j087lh,LAF04145,NA,C5-SinSello,na,25.719830000000002,-100.201899999999995,./0.png
-100.2117,25.72379,j090lh,LAF04145,NA,C5-SinSello,na,25.723790000000001,-100.211699999999993,./0.png
-100.20228,25.71906,j091dd,LAF04145,NA,C5-SinSello,na,25.719059999999999,-100.202280000000002,./0.png
-100.20496,25.72062,j091lh,LAF04145,NA,NA,ok,25.720620000000000,-100.204960000000000,./0.png
-100.19125,25.72361,j100l5,LAF04145,NA,NA,na,25.723610000000001,-100.191249999999997,./0.png
-100.19573,25.72243,j1444x,LAF04145,NA,C5-SinSello,na,25.722429999999999,-100.195729999999998,./0.png
-100.18943,25.72122,j159fd,LAF04145,NA,NA,mt,25.721219999999999,-100.189430000000002,./0.png
-100.2019,25.71857,j190ng,LAF04145,NA,C5-SinSello,na,25.718570000000000,-100.201899999999995,./0.png
-100.19264,25.72284,j192ec,LAF04145,NA,NA,mt,25.722840000000001,-100.192639999999997,./0.png
-100.19647,25.72199,j21c52,LAF04145,NA,NA,ok,25.721990000000002,-100.196470000000005,./0.png
-100.19646,25.72195,j22c82,LAF04145,NA,NA,ok,25.721950000000000,-100.196460000000002,./0.png
-100.19489,25.72006,j23c67,LAF04145,NA,NA,ok,25.720060000000000,-100.194890000000001,./0.png
-100.19636,25.72077,j24c15,LAF04145,NA,C5-SinSello,na,25.720770000000002,-100.196359999999999,./0.png
-100.19636,25.72077,j24c36,LAF04145,NA,C5-SinSello,na,25.720770000000002,-100.196359999999999,./0.png
-100.19208,25.72327,j278lk,LAF04145,NA,NA,na,25.723269999999999,-100.192080000000004,./0.png
-100.19181,25.72297,j2a572,LAF04145,NA,NA,na,25.722970000000000,-100.191810000000004,./0.png
-100.19373,25.72253,j300rt,LAF04145,NA,C1-UIDeriv,na,25.722529999999999,-100.193730000000002,./0.png
-100.19329,25.72244,j3088x,LAF04145,NA,NA,na,25.722439999999999,-100.193290000000005,./0.png
-100.18768,25.72058,j308c9,LAF04145,NA,NA,na,25.720580000000002,-100.187680000000000,./0.png
-100.20174,25.71861,j311c4,LAF04145,NA,NA,ok,25.718610000000002,-100.201740000000001,./0.png
-100.19454,25.71586,j33c88,LAF04145,NA,C5-SinSello,ok,25.715859999999999,-100.194540000000003,./0.png
-100.19157,25.72395,j344ne,LAF04145,NA,NA,na,25.723949999999999,-100.191569999999999,./0.png
-100.1883,25.72201,j34c41,LAF04145,NA,NA,na,25.722010000000001,-100.188299999999998,./0.png
-100.2022,25.71855,j350c1,LAF04145,NA,NA,ok,25.718550000000000,-100.202200000000005,./0.png
-100.20306,25.71875,j367db,LAF04145,NA,NA,ok,25.718750000000000,-100.203059999999994,./0.png
-100.20341,25.71881,j377db,LAF04145,NA,NA,ok cm,25.718810000000001,-100.203410000000005,./0.png
-100.19792,25.72396,j388ee,LAF04145,NA,NA,ok cm,25.723960000000002,-100.197919999999996,./0.png
-100.2027,25.71969,j389rn,LAF04145,NA,C5-SinSello,na,25.719690000000000,-100.202699999999993,./0.png
-100.19592,25.72597,j406fp,LAF04145,NA,NA,na,25.725970000000000,-100.195920000000001,./0.png
-100.19282,25.72207,j4115x,LAF04145,NA,NA,na,25.722069999999999,-100.192819999999998,./0.png
-100.19306,25.72246,j419a8,LAF04145,NA,NA,na,25.722460000000002,-100.193060000000003,./0.png
-100.18619,25.72045,j42c54,LAF04145,NA,C5-SinSello,na,25.720450000000000,-100.186189999999996,./0.png
-100.19448,25.72655,j433ee,LAF04145,NA,NA,na,25.726550000000000,-100.194479999999999,./0.png
-100.18846,25.72127,j437lc,LAF04145,NA,NA,na,25.721270000000001,-100.188460000000006,./0.png
-100.1911,25.72319,j446f0,LAF04145,NA,NA,na,25.723189999999999,-100.191100000000006,./0.png
-100.19016,25.72141,j44c61,LAF04145,NA,NA,na,25.721409999999999,-100.190160000000006,./0.png
0,0,j464a1,LAF04145,NA,NA,ok,0.000000000000000,0.000000000000000,./0.png
